,seed,k,err
0,1,1,0.7728941577488221
1,1,2,0.6358326357528864
2,1,3,0.4744832535543213
3,1,4,0.45694090053187064
4,1,5,0.3364976777450589
5,1,6,0.2309198349906214
6,1,7,0.24448849043703524
7,1,8,0.2309198349529734
8,1,9,0.1444018376070536
9,1,10,0.19356930165023267
10,1,11,0.23091983489498047
11,1,12,0.12205766683675878
12,1,13,0.1737852654116483
13,1,14,0.23091983483132417
14,1,15,0.10031965259769426
15,1,16,0.10065081329637249
16,1,17,0.08230859814627534
17,1,18,0.08984019743479132
18,1,19,0.10082726634829586
19,1,20,0.10718409976644416
20,2,1,0.7728941609878224
21,2,2,0.5954753826146701
22,2,3,0.4569408982551735
23,2,4,0.3364976777448374
24,2,5,0.2823672304110194
25,2,6,0.2831954939408906
26,2,7,0.28236723041411127
27,2,8,0.1935692969558891
28,2,9,0.17378526535142547
29,2,10,0.28236723052920587
30,2,11,0.1737852655604133
31,2,12,0.13318128052783762
32,2,13,0.336497677744817
33,2,14,0.11859069766447405
34,2,15,0.12857607868421228
35,2,16,0.09155346150206467
36,2,17,0.10545668198504343
37,2,18,0.17378526592032417
38,2,19,0.051021723862496815
39,2,20,0.09750547340671678
40,3,1,0.7728941622679851
41,3,2,0.5954753851857384
42,3,3,0.45694089869290977
43,3,4,0.4744832490657991
44,3,5,0.28236723066884917
45,3,6,0.3364976777448351
46,3,7,0.24448864679278093
47,3,8,0.23082122420228635
48,3,9,0.336497677744788
49,3,10,0.23091983489286638
50,3,11,0.13026891452233502
51,3,12,0.23091985570375206
52,3,13,0.09726976951751898
53,3,14,0.15086668008548176
54,3,15,0.06084864354781927
55,3,16,0.0993053521675048
56,3,17,0.09206592836314142
57,3,18,0.04418106809966804
58,3,19,0.06600937603950974
59,3,20,0.06078324590807427
60,4,1,0.7728941603268309
61,4,2,0.5954753826031167
62,4,3,0.5954753821732948
63,4,4,0.33649767774480555
64,4,5,0.33649767774480266
65,4,6,0.2823672304900503
66,4,7,0.2309198348856335
67,4,8,0.3156197551002363
68,4,9,0.3364976777448042
69,4,10,0.19356929698280256
70,4,11,0.2544228444385267
71,4,12,0.1444018375187286
72,4,13,0.1508666802058366
73,4,14,0.09924680662038832
74,4,15,0.12947927195611175
75,4,16,0.1508666057939111
76,4,17,0.09047537408144724
77,4,18,0.09878708135075898
78,4,19,0.0690022347422885
79,4,20,0.09127528311625221
80,5,1,0.7728941601997104
81,5,2,0.5954753830277807
82,5,3,0.4569409003324887
83,5,4,0.33649767774479566
84,5,5,0.33649767774479944
85,5,6,0.2615511685387102
86,5,7,0.3364976777447981
87,5,8,0.2309198348221192
88,5,9,0.16752029107155308
89,5,10,0.23091983505893277
90,5,11,0.282367230472343
91,5,12,0.1478996611741039
92,5,13,0.12492480489358293
93,5,14,0.08707127481014354
94,5,15,0.15933347047317958
95,5,16,0.17049176262731602
96,5,17,0.08569279124081552
97,5,18,0.07984962081811076
98,5,19,0.17356868103742273
99,5,20,0.05596550508167242
100,6,1,0.772894159856845
101,6,2,0.5954753843222834
102,6,3,0.45694089987389075
103,6,4,0.4744832528084715
104,6,5,0.33649767774480477
105,6,6,0.2831954937874672
106,6,7,0.33649767774480266
107,6,8,0.19356929743161688
108,6,9,0.1737852655224562
109,6,10,0.19356929722281135
110,6,11,0.14440183690314856
111,6,12,0.16752028123761808
112,6,13,0.2102704332551687
113,6,14,0.12492480662872829
114,6,15,0.11900891222617793
115,6,16,0.2309198350301821
116,6,17,0.11606665848214204
117,6,18,0.09233858994453314
118,6,19,0.08985828839751353
119,6,20,0.06536476684489334
120,7,1,0.7728941560044683
121,7,2,0.6358321287842331
122,7,3,0.4569408986039508
123,7,4,0.33649767774479145
124,7,5,0.4744832522682957
125,7,6,0.2823672306250524
126,7,7,0.2444885886796364
127,7,8,0.28319549396996413
128,7,9,0.28236723055801405
129,7,10,0.13548810906875286
130,7,11,0.19356904988091939
131,7,12,0.1478996402765761
132,7,13,0.07340253198033875
133,7,14,0.16481296145772628
134,7,15,0.10965404687129365
135,7,16,0.06881936341894468
136,7,17,0.09930559430061636
137,7,18,0.11798609470796384
138,7,19,0.08804507327018274
139,7,20,0.06780533454311799
140,8,1,0.7728941607136388
141,8,2,0.5954753823143528
142,8,3,0.4569408996300329
143,8,4,0.3364976777448023
144,8,5,0.3364976777447991
145,8,6,0.23091983499221658
146,8,7,0.24448864531213277
147,8,8,0.23091983499055158
148,8,9,0.1675202884409679
149,8,10,0.1559260853946205
150,8,11,0.1478995776159151
151,8,12,0.23091983489932044
152,8,13,0.23091983499294744
153,8,14,0.1141280179069376
154,8,15,0.15592608554426113
155,8,16,0.09783861338023458
156,8,17,0.05984201979909465
157,8,18,0.06886906957296923
158,8,19,0.12070772816096353
159,8,20,0.15474228442492266
160,9,1,0.7728941558994228
161,9,2,0.5954753829382735
162,9,3,0.45694089958559414
163,9,4,0.47448325556099724
164,9,5,0.28236723043113476
165,9,6,0.3364976777447872
166,9,7,0.2831954937493857
167,9,8,0.2309198408768144
168,9,9,0.1737852662590713
169,9,10,0.24448850075795558
170,9,11,0.16752135568069793
171,9,12,0.14812275699070343
172,9,13,0.23091983497711
173,9,14,0.0953524839425991
174,9,15,0.2309198348900363
175,9,16,0.11797939158694637
176,9,17,0.10878975018720827
177,9,18,0.1444018500247749
178,9,19,0.08003136459690974
179,9,20,0.06536706251537006
180,10,1,0.7728941555463684
181,10,2,0.595475382632823
